Participant,Age,List_4,List_9,List_15
117084,22,25.0,0.0,0.0
120637,19,37.5,50.0,87.5
144910,19,37.5,75.0,75.0
170190,19,12.5,50.0,50.0
175762,22,37.5,62.5,37.5
180916,19,75.0,75.0,75.0
180941,19,62.5,50.0,62.5
228396,19,50.0,37.5,62.5
257498,19,12.5,37.5,62.5
269269,0,100.0,100.0,100.0
269332,28,37.5,50.0,75.0
270295,0,37.5,62.5,50.0
273206,19,0.0,25.0,37.5
298989,40,50.0,87.5,50.0
306661,19,87.5,75.0,75.0
308181,30,50.0,75.0,87.5
314779,21,75.0,50.0,62.5
317520,20,0.0,0.0,0.0
326469,21,50.0,50.0,75.0
348711,30,25.0,0.0,0.0
391678,19,62.5,62.5,62.5
393070,19,37.5,62.5,62.5
431843,19,62.5,50.0,50.0
434270,19,12.5,37.5,75.0
458968,19,25.0,0.0,37.5
469662,0,50.0,75.0,62.5
475946,19,12.5,50.0,25.0
529452,0,37.5,87.5,75.0
546493,0,0.0,0.0,0.0
550568,0,75.0,100.0,100.0
552839,25,25.0,50.0,25.0
554235,0,62.5,37.5,37.5
558685,0,62.5,25.0,25.0
573585,19,25.0,12.5,50.0
601797,0,87.5,62.5,87.5
640312,19,25.0,50.0,50.0
656748,22,62.5,50.0,62.5
694728,30,12.5,25.0,0.0
704464,19,25.0,37.5,50.0
720974,20,62.5,62.5,50.0
726299,21,75.0,62.5,62.5
763725,20,12.5,50.0,62.5
774523,19,75.0,50.0,75.0
832003,19,50.0,62.5,62.5
837074,20,75.0,62.5,100.0
846853,26,75.0,87.5,100.0
863165,20,50.0,50.0,75.0
870952,21,62.5,87.5,87.5
891025,19,75.0,37.5,50.0
943090,19,87.5,37.5,62.5
957374,43,0.0,0.0,0.0
960785,19,37.5,37.5,25.0
965362,21,37.5,37.5,62.5
968952,19,62.5,62.5,87.5
970352,19,12.5,75.0,87.5
986383,20,62.5,25.0,75.0
